Neighborhood,Borough,Post Town,Postcode,Latitude,Longitude
Abbey Wood,"Bexley,  Greenwich ",LONDON,SE2,51.49245,0.12127
Acton,Hammersmith and Fulham,LONDON,W3,51.51324,-0.26746
Acton,Ealing,LONDON, W4,51.48944,-0.26194
Aldgate,City,LONDON,EC3,51.512,-0.08058
Aldwych,Westminster,LONDON,WC2,51.51651,-0.11968
Anerley,Bromley,LONDON,SE20,51.41009,-0.05683
Angel,Islington,LONDON,EC1,51.52361,-0.09877
Angel,Islington,LONDON, N1,51.52969,-0.08697
Archway,Islington,LONDON,N19,51.56393,-0.12945
Arnos Grove,Enfield,LONDON,N11,51.61631,-0.13839
Arnos Grove,Enfield,LONDON, N14,51.63429,-0.13366
Balham,Wandsworth,LONDON,SW12,51.44822,-0.14839
Bankside,Southwark,LONDON,SE1,51.49996,-0.09568
Barbican,City,LONDON,EC1,51.52361,-0.09877
Barnes,Richmond upon Thames,LONDON,SW13,51.47457,-0.24212
Barnsbury,Islington,LONDON,N1,51.52969,-0.08697
Battersea,Wandsworth,LONDON,SW11,51.4676,-0.1629
Bayswater,Westminster,LONDON,W2,51.51494,-0.18048
Bedford Park,Ealing,LONDON,W4,51.48944,-0.26194
Belgravia,Westminster,LONDON,SW1,51.49714,-0.13829
Bellingham,Lewisham,LONDON,SE6,51.43722,-0.01868
Belsize Park,Camden,LONDON,NW3,51.55506,-0.17348
Bermondsey,Southwark,LONDON,SE1,51.49996,-0.09568
Bethnal Green,Tower Hamlets,LONDON,E2,51.52669,-0.06257
Blackfriars,City,LONDON,EC4,51.51389,-0.10434
Blackheath,Lewisham,LONDON,SE3,51.47138,0.02338
Blackheath Royal Standard,Greenwich,LONDON,SE3,51.47138,0.02338
Blackheath Royal Standard,Greenwich,LONDON, SE12,51.44759,0.0135
Blackwall,Tower Hamlets,LONDON,E14,51.51122,-0.01264
Bloomsbury,Camden,LONDON,WC1,51.5245,-0.12273
Bounds Green,Haringey,LONDON,N11,51.61631,-0.13839
Bounds Green,Haringey,LONDON, N22,51.60214,-0.11223
Bow,Tower Hamlets,LONDON,E3,51.52702,-0.02594
Bowes Park,Haringey,LONDON,N22,51.60214,-0.11223
Brent Cross,Barnet,LONDON,NW2,51.56237,-0.22131
Brent Cross,Barnet,LONDON, NW4,51.58912,-0.2281
Brent Park,Brent,LONDON,NW10,51.53916,-0.25123
Brixton,Lambeth,LONDON,SW2,51.45295,-0.12083
Brixton,Lambeth,LONDON, SW9,51.47001,-0.11249
Brixton,Lambeth,LONDON, SE5,51.4748,-0.09313
Brockley,Lewisham,LONDON,SE4,51.46268,-0.03558
Bromley (also Bromley-by-Bow),Tower Hamlets,LONDON,E3,51.52702,-0.02594
Brompton,Kensington and ChelseaHammersmith and Fulham,LONDON,SW3,51.49014,-0.16248
Brondesbury,Brent,LONDON,NW6,51.54187,-0.19795
Brunswick Park,Barnet,LONDON,N11,51.61631,-0.13839
"Burroughs, The",Barnet,LONDON,NW4,51.58912,-0.2281
Camberwell,Southwark,LONDON,SE5,51.4748,-0.09313
Cambridge Heath,Tower Hamlets,LONDON,E2,51.52669,-0.06257
Camden Town,Camden,LONDON,NW1,51.53354,-0.14606
Canary Wharf,Tower Hamlets,LONDON,E14,51.51122,-0.01264
Cann Hall,Waltham Forest,LONDON,E11,51.57676,0.02723
Canning Town,Newham,LONDON,E16,51.50913,0.01528
Canonbury,Islington,LONDON,N1,51.52969,-0.08697
Castelnau,Richmond upon Thames,LONDON,SW13,51.47457,-0.24212
Catford,Lewisham,LONDON,SE6,51.43722,-0.01868
